"const","wgt","female","age","haschld","educ","educ.m","educ.f","currjob","mosinjob","yr_work1","earn_yr","white","partnered","evarrst","p_inc","hh_inc","R.educ.m","R.educ.f","R.hh_inc","I.educ.m","I.educ.f","I.hh_inc"
1,9.307692,0,20.40274,1,8,12,8.61238264548554,0,8.75,1,0.961194182407274,0,0,0,0,0,1,0,1,12,0,0
1,12.49659,0,24.55616,1,12,12,12,0,7.75,1,1.51355772093446,0,0,0,1,1,1,1,1,12,12,1
1,9.307692,1,18.13151,0,8,12,12,0,7,1,1.31791961955521,1,0,0,0,0,1,1,0,12,12,0
1,9.307692,0,20.23836,0,9,5,4,0,0,0,-0.683781229648494,1,0,1,0,1,1,1,1,5,4,1
1,12.49659,0,16.17534,0,8,7,8,0,2.75,1,1.38926470698480,1,0,0,0,1,1,1,1,7,8,1
1,12.49659,1,18.30685,0,10,12,12,0,2,1,-0.488143128269248,0,0,0,0,1,1,1,0,12,12,0
1,12.49659,0,18.93699,0,10,12,12,0,0,0,-0.683781229648494,1,0,0,0,0,1,1,1,12,12,0
1,9.307692,1,17.03288,0,10,11,12,0,5.5,1,0.112232513119355,1,0,0,0,1,1,1,0,11,12,0
1,12.49659,0,18.92603,0,8,12.2487476152198,12.3305212296594,0,0.25,1,-0.643397217895897,1,0,1,0,1,0,0,0,0,0,0
1,6.467032,0,21.48219,0,12,11.1429718993659,11.5118360778874,1,13,1,1.32868868935590,0,0,0,0,0,0,0,1,0,0,0
1,12.49659,0,16.32329,0,9,12,9.7353877817507,0,3.28967828643546,1,0.50467109862527,0,0,1,0,1,1,0,0,12,0,0
1,9.307692,0,17,0,9.38532572005019,9.92476897291392,11.0821072004594,0,9.58031865288207,1,0.309505766278786,0,0,0,0,1,0,0,0,0,0,0
1,6.467032,0,21.9589,0,13,13,16,0,0,0,-0.683781229648494,0,0,0,1,1,1,1,1,13,16,1
1,12.49659,1,21.64384,1,10,12,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,1,12,12,0
1,12.49659,0,17.31507,0,11,12,12.5693377079155,0,2.59970169780325,1,0.440610875678052,0,0,1,0,1,1,0,0,12,0,0
1,9.307692,0,18.60822,0,11,16,12,0,3.25,1,-0.191096286266815,1,1,1,0,1,1,1,0,16,12,0
1,12.49659,0,19.75343,0,0,12,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,0,12,12,0
1,9.307692,1,20.36712,0,12,11,12,0,2,1,-0.253018437620797,1,0,0,0,0,1,1,0,11,12,0
1,9.307692,1,18.45753,1,9,9,9,1,7.25,1,0.155308792322124,1,0,1,0,1,1,1,1,9,9,1
