"ID","wgt","assign","treat","r52","work52","y52","h52","w52","r130","work130","y130","h130","w130","r208","work208","y208","h208","w208","TOTHRSW","EARNY4"
48033,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,25.747896379,NA
56067,12.49659,0,0,1,0,0,0,NA,1,1,312,48,6.5,1,1,450,60,7.5,27.759615385,265.18833822
60037,9.307692,1,1,1,1,364,56,6.5,1,0,0,0,NA,1,0,0,0,NA,16.3125,216.83581609
67014,9.307692,1,1,1,1,150,30,5,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
75019,12.49659,0,0,1,1,307.8,54,5.7,1,0,0,0,NA,1,1,384.61538462,54,7.12250712259259,27.134615385,366.50738656
77017,12.49659,0,0,1,0,0,0,NA,1,1,150,30,5,1,1,108,20,5.4,4.1586538462,11.856046199
81016,12.49659,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,1,0,0,0,NA,NA,0
82015,9.307692,1,1,1,1,175,35,5,1,0,0,0,NA,1,1,125,20,6.25,20.567307692,18.29636759
87049,12.49659,0,0,1,0,0,0,NA,1,1,350,66,5.3030303030303,1,0,0,0,NA,9.2548076923,0
92076,6.467032,1,1,1,1,180,25,7.2,1,1,300,36,8.33333333333333,1,1,187.5,25,7.5,28.014423077,221.14769003
98038,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
98041,9.307692,1,0,1,0,0,0,NA,1,0,0,0,NA,1,1,705,60,11.75,26.192307692,671.80803957
103020,6.467032,1,1,1,1,434.7,54,8.05,1,1,360,40,9,1,1,350,40,8.75,36.528846154,333.52172177
103156,12.49659,0,0,1,0,0,0,NA,1,1,252,40,6.3,1,1,172.5,30,5.75,20.639503624,225.77975203
108041,12.49659,0,0,0,NA,NA,NA,NA,1,0,0,0,NA,1,1,340,40,8.5,18.111148897,323.99252972
114077,9.307692,1,0,1,0,0,0,NA,1,1,286.37413395,84,3.40921588035714,1,1,461.25,45,10.25,54.028846154,333.84017833
114093,12.49659,0,0,1,1,330,40,8.25,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
114158,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,0
117058,9.307692,1,1,1,0,0,0,NA,1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
118028,6.467032,1,0,1,1,148.75,35,4.25,1,0,0,0,NA,1,1,232,40,5.8,10.408653846,165.51654362
119014,19.99454,0,0,1,0,0,0,NA,1,0,0,0,NA,1,1,800,55,14.5454545454545,15.956730769,717.7346691
121141,12.49659,0,0,1,1,381.47255944,54,7.0643066562963,1,1,337.5,50,6.75,1,1,270,45,6,42.173076923,135.15358964
126036,12.49659,0,0,1,0,0,0,NA,1,0,0,0,NA,1,1,317.37095781,40,7.93427394525,8.0769230769,195.92684061
127022,6.467032,1,1,1,0,0,0,NA,1,1,588,84,7,1,1,632,50,12.64,30.966346154,611.96782865
